,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),Display Value,Numeric,Low,High
15,MALARIA_EST_CASES,Estimated number of malaria cases,2000.0,2000,WPR,Western Pacific,,VNM,2000,2000,Viet Nam,201 414 [158 000-268 000],201414.00000,158000.0,268000.0
16,MALARIA_EST_CASES,Estimated number of malaria cases,2005.0,2005,WPR,Western Pacific,,VNM,2005,2005,Viet Nam,40 604 [34 000-51 000],40604.00000,34000.0,51000.0
17,MALARIA_EST_CASES,Estimated number of malaria cases,2017.0,2017,WPR,Western Pacific,,VNM,2017,2017,Viet Nam,5 485 [5 000-6 100],5485.00000,5000.0,6100.0
18,MALARIA_EST_CASES,Estimated number of malaria cases,2019.0,2019,WPR,Western Pacific,,VNM,2019,2019,Viet Nam,3 856 [3 600-4 300],3856.00000,3600.0,4300.0
19,MALARIA_EST_CASES,Estimated number of malaria cases,2001.0,2001,WPR,Western Pacific,,VNM,2001,2001,Viet Nam,185 145 [147 000-240 000],185145.00000,147000.0,240000.0
20,MALARIA_EST_CASES,Estimated number of malaria cases,2002.0,2002,WPR,Western Pacific,,VNM,2002,2002,Viet Nam,131 451 [105 000-171 000],131451.00000,105000.0,171000.0
21,MALARIA_EST_CASES,Estimated number of malaria cases,2003.0,2003,WPR,Western Pacific,,VNM,2003,2003,Viet Nam,96 592 [78 000-124 000],96592.00000,78000.0,124000.0
22,MALARIA_EST_CASES,Estimated number of malaria cases,2004.0,2004,WPR,Western Pacific,,VNM,2004,2004,Viet Nam,56 559 [47 000-72 000],56559.00000,47000.0,72000.0
23,MALARIA_EST_CASES,Estimated number of malaria cases,2006.0,2006,WPR,Western Pacific,,VNM,2006,2006,Viet Nam,43 620 [37 000-54 000],43620.00000,37000.0,54000.0
24,MALARIA_EST_CASES,Estimated number of malaria cases,2007.0,2007,WPR,Western Pacific,,VNM,2007,2007,Viet Nam,28 022 [24 000-34 000],28022.00000,24000.0,34000.0
25,MALARIA_EST_CASES,Estimated number of malaria cases,2008.0,2008,WPR,Western Pacific,,VNM,2008,2008,Viet Nam,17 911 [16 000-22 000],17911.00000,16000.0,22000.0
26,MALARIA_EST_CASES,Estimated number of malaria cases,2015.0,2015,WPR,Western Pacific,,VNM,2015,2015,Viet Nam,11 283 [10 000-13 000],11283.00000,10000.0,13000.0
27,MALARIA_EST_CASES,Estimated number of malaria cases,2016.0,2016,WPR,Western Pacific,,VNM,2016,2016,Viet Nam,5 024 [4 600-5 600],5024.00000,4600.0,5600.0
28,MALARIA_EST_CASES,Estimated number of malaria cases,2018.0,2018,WPR,Western Pacific,,VNM,2018,2018,Viet Nam,3 777 [3 500-4 200],3777.00000,3500.0,4200.0
29,MALARIA_EST_CASES,Estimated number of malaria cases,2020.0,2020,WPR,Western Pacific,,VNM,2020,2020,Viet Nam,1 657 [1 500-1 900],1657.00000,1500.0,1900.0
30,MALARIA_EST_CASES,Estimated number of malaria cases,2021.0,2021,WPR,Western Pacific,,VNM,2021,2021,Viet Nam,453 [420-510],453.00000,420.0,510.0
32,MALARIA_EST_CASES,Estimated number of malaria cases,2014.0,2014,WPR,Western Pacific,,VNM,2014,2014,Viet Nam,19 060 [18 000-21 000],19060.00000,18000.0,21000.0
36,MALARIA_EST_CASES,Estimated number of malaria cases,2013.0,2013,WPR,Western Pacific,,VNM,2013,2013,Viet Nam,20 760 [19 000-23 000],20760.00000,19000.0,23000.0
52,MALARIA_EST_CASES,Estimated number of malaria cases,2012.0,2012,WPR,Western Pacific,,VNM,2012,2012,Viet Nam,23 838 [22 000-27 000],23838.00000,22000.0,27000.0
58,MALARIA_EST_CASES,Estimated number of malaria cases,2011.0,2011,WPR,Western Pacific,,VNM,2011,2011,Viet Nam,20 206 [19 000-23 000],20206.00000,19000.0,23000.0
60,MALARIA_EST_CASES,Estimated number of malaria cases,2010.0,2010,WPR,Western Pacific,,VNM,2010,2010,Viet Nam,22 959 [21 000-26 000],22959.00000,21000.0,26000.0
61,MALARIA_EST_CASES,Estimated number of malaria cases,2009.0,2009,WPR,Western Pacific,,VNM,2009,2009,Viet Nam,22 853 [21 000-26 000],22853.00000,21000.0,26000.0
